,RA,DEC,QUICK_OBJECT_ID,MAG_AUTO_G,MAGERR_AUTO_G,MAG_AUTO_R,MAGERR_AUTO_R,MAG_AUTO_I,MAGERR_AUTO_I,MAG_AUTO_Z,MAGERR_AUTO_Z,Z
447,348.9668929133686,21.165978523755456,10402800086180,21.780437,0.0785341,20.085058,0.030415058,99.0,99.0,99.0,99.0,0.515003
448,348.1144630334737,20.44824565632176,10402800092708,22.553902,0.13030298,20.889593,0.04555216,99.0,99.0,19.608793,0.03509482,0.640318
449,348.9829172637512,20.364318373087883,10402800080804,22.270977,0.08306986,20.343891,0.035396904,99.0,99.0,18.782267,0.024302173,0.647283
450,349.2114690134095,21.02771384586231,10402800042200,22.590368,0.11048696,20.623299,0.04151224,99.0,99.0,19.733513,0.04157434,0.567788
451,349.26799169004676,20.936216425220323,10402800078953,22.115507,0.08502983,19.871685,0.025830712,99.0,99.0,99.0,99.0,0.515012
452,348.67710912631196,21.459010597378366,10402800013202,22.315662,0.14298418,99.0,99.0,99.0,99.0,99.0,99.0,0.457755
453,348.67918467513203,20.507678557600244,10402800107297,21.522524,0.057401128,19.857582,0.02548964,99.0,99.0,18.923271,0.02254399,0.604155
454,349.6473048839035,21.07792787204062,10402800047042,22.052795,0.08212797,20.193531,0.028550629,99.0,99.0,19.201921,0.021204805,0.503576
455,349.1029546116665,20.3480814662219,10402800053135,21.596958,0.071535066,19.968098,0.02540872,99.0,99.0,18.944809,0.022728868,0.495147
456,348.9150986685243,20.64036252224875,10402800092260,20.157148,0.024066726,18.567669,0.010046859,99.0,99.0,17.759201,0.012275439,0.300434
457,347.71320834000915,20.55715206836622,10402800026668,20.192692,0.028081141,18.495987,0.010810872,99.0,99.0,17.571432,0.0088660475,0.366516
458,348.98885033281755,21.394745915289747,10402800084550,18.949999,0.015488384,17.486948,0.006823317,99.0,99.0,16.842117,0.0068863523,0.233534
459,348.2857492261707,20.563062664470948,10402800116704,20.629112,0.046524577,19.172333,0.021316785,99.0,99.0,18.069191,0.015365183,0.511991
460,349.28688044611556,20.207393647981448,10402800055393,22.92081,0.12756245,20.536644,0.05188253,99.0,99.0,19.04132,0.033424318,0.648238
461,348.2250468692651,20.69616931251184,10402800090728,20.638351,0.03315666,18.994993,0.0142145865,99.0,99.0,18.228289,0.012174215,0.332493
462,348.4482387675281,20.06477437578144,10402800030875,21.249624,0.04220293,19.386547,0.01855842,99.0,99.0,18.427956,0.015234511,0.422074
463,349.22957672703495,21.207832661560843,10402800014392,20.4058,0.022107892,19.820303,0.024822582,99.0,99.0,19.877974,0.054199412,0.173714
464,349.29392489415574,20.111266932445375,10402800057522,22.28379,0.09033465,20.794615,0.05013008,99.0,99.0,19.594114,0.03891718,0.575239
465,348.7538246063776,21.50442739918185,10402800012418,18.950954,0.013923595,17.633064,0.005671706,99.0,99.0,16.842241,0.0054305173,0.200293
466,349.4227309833184,20.519764050545447,10402800051616,20.388773,0.025666904,18.763796,0.014541407,99.0,99.0,18.000298,0.014891307,0.311943
467,349.01188502942733,21.605988847272158,10402800012721,21.23992,0.06284745,19.803783,0.02673746,99.0,99.0,18.95335,0.02532715,0.549093
468,349.6665355319175,21.064901959797794,10402800043090,22.268614,0.07987654,20.39759,0.037966438,99.0,99.0,19.230022,0.02600614,0.5254
469,348.7025454530347,20.323837032962373,10402800020864,22.47974,0.088803425,99.0,99.0,99.0,99.0,99.0,99.0,0.887217
470,348.6149741704695,19.87102479756497,10402800002823,21.572556,0.07059517,99.0,99.0,99.0,99.0,99.0,99.0,0.580966
471,348.89299557476085,19.73029051647714,10402800060291,17.833801,0.0052367244,16.89394,0.0042891796,99.0,99.0,16.274149,0.0042377007,0.100194
472,348.44899696010594,19.832108418729234,10402800059160,21.680605,0.065873705,20.033737,0.031853214,99.0,99.0,18.986807,0.021669466,0.516935
473,348.8046133922987,20.87165558066998,10402800104311,20.070694,0.031991664,18.782614,0.017279146,99.0,99.0,18.085405,0.019766029,0.315434
474,348.3716990066783,20.436704317566182,10402800093037,21.84943,0.07672163,20.196466,0.032134145,99.0,99.0,18.98166,0.026970422,0.518842
475,349.7083471602841,20.688272089761483,10402800049959,21.439247,0.06724223,19.917929,0.032546207,99.0,99.0,18.885927,0.02761533,0.423776
476,347.6367499876019,20.79596846952981,10402800089897,22.437654,0.10692552,20.505838,0.03971629,99.0,99.0,19.597647,0.02896744,0.520249
477,348.03018924134227,20.783514684826585,10402800044260,20.005604,0.018829977,18.555817,0.008809149,99.0,99.0,17.723146,0.0092746755,0.283991
478,348.8970714534568,21.62671685997924,10402800012554,21.24666,0.07219634,19.990168,0.031603117,99.0,99.0,19.296364,0.032980107,0.470837
479,349.308872780869,20.438765683721186,10402800035777,22.213154,0.084064096,20.1186,0.039834935,99.0,99.0,19.09845,0.03224747,0.505439
480,348.90395931398075,20.45531240829291,10402800093462,23.024048,0.14010854,21.041733,0.06272702,99.0,99.0,19.671696,0.045328405,0.71971
481,347.6826508948621,20.961969559133365,10402800000346,21.261456,0.0713513,20.039959,0.034064997,99.0,99.0,19.285826,0.025436273,0.25253
482,348.9360346072216,21.790399258682413,10402800097424,20.633995,0.041226726,19.188585,0.013162949,99.0,99.0,18.289293,0.012857434,0.308337
483,348.218740235218,21.081933661817047,10402800041765,18.847273,0.011035721,17.556,0.005496868,99.0,99.0,16.866331,0.0048759454,0.217652
484,348.3796823367509,21.43194611373282,10402800061572,19.668575,0.021484073,18.207024,0.00995371,99.0,99.0,17.394547,0.00908605,0.291671
485,349.6870933742538,20.577134911389706,10402800019508,19.039228,0.013700409,17.726486,0.008315993,99.0,99.0,99.0,99.0,0.239702
486,348.3904341397746,20.221884472619436,10402800054342,21.365429,0.050989356,19.833866,0.026146619,99.0,99.0,18.87394,0.022154767,0.520632
487,349.3791390677058,21.426585176964778,10402800041360,21.735382,0.06485228,19.951487,0.021367034,99.0,99.0,18.976973,0.021956604,0.474951
488,349.5523809402143,20.55750266806598,10402800019419,20.921911,0.048020624,19.249222,0.023555532,99.0,99.0,18.427212,0.020434514,0.395381
489,349.1182270447083,21.503598393126694,10402800007665,22.214855,0.106720395,20.16434,0.033209275,99.0,99.0,18.962053,0.026750831,0.535718
490,348.3346865842631,20.34890518647269,10402800001676,20.335667,0.024727535,18.779966,0.011228321,99.0,99.0,17.968904,0.009618389,0.340291
491,349.28798017364517,20.743739592889014,10402800049441,21.09467,0.051837295,21.126928,0.059528477,99.0,99.0,20.788553,0.07193661,0.453023
492,349.9528680705668,20.840738231879598,10402800073877,22.0615,0.08849857,20.126642,0.0410015,99.0,99.0,18.60193,0.021255972,0.656747
493,348.6015543666241,21.108054124431945,10402800010115,19.225533,0.01682319,17.801033,0.0077679483,99.0,99.0,17.016602,0.007377995,0.252499
494,348.8288527600511,21.52957662730398,10402800012563,19.865816,0.041543063,19.084549,0.02271547,99.0,99.0,18.200552,0.017229436,0.308338
495,348.92033205930863,20.278334098073955,10402800002144,22.163914,0.094362795,99.0,99.0,99.0,99.0,99.0,99.0,0.667086
496,348.41104289512714,20.385373033270255,10402800029036,22.622345,0.10940254,20.619051,0.042234283,99.0,99.0,19.236448,0.022015149,0.624724
497,349.19114193131287,20.879886476310418,10402800047656,21.871655,0.054643184,20.053349,0.0301055,99.0,99.0,19.070639,0.025712784,0.523779
498,348.5655300747656,21.223788272496932,10402800008230,21.337317,0.06785292,19.682133,0.03282844,99.0,99.0,18.915852,0.029669032,0.282414
499,349.1428986305632,21.39509151156821,10402800013648,22.317896,0.10589444,20.43972,0.03979754,99.0,99.0,19.381813,0.031202042,0.55896
500,347.95276464870244,21.08217543119268,10402800112668,21.51957,0.07727452,20.25615,0.03404966,99.0,99.0,19.366297,0.024549823,0.522988
501,349.1580454887052,20.80125972424355,10402800073169,21.822714,0.060888115,20.104425,0.032357108,99.0,99.0,19.16538,0.030192804,0.480659
502,349.08948175923797,21.118378523625992,10402800046821,21.294828,0.04244014,20.103716,0.022937046,99.0,99.0,18.95236,0.021249536,0.613929
503,349.7494285035844,20.792124287988585,10402800050027,21.26689,0.05174817,19.487522,0.023102622,99.0,99.0,18.536192,0.018804828,0.419744
504,348.5595973138914,21.258234663074404,10402800008217,19.081211,0.018493552,18.181509,0.010214386,99.0,99.0,17.383053,0.007852247,0.198614
505,348.00508740622735,20.463937875801975,10402800027099,19.637592,0.011029806,18.243147,0.005626791,99.0,99.0,17.457785,0.0046767956,0.2824
506,348.5127635471362,21.480867736097125,10402800013112,21.666943,0.09046927,19.806923,0.024526112,99.0,99.0,18.763733,0.020927437,0.461263
507,348.76971135463555,19.50940736491566,10402800060392,21.757637,0.080402136,20.073141,0.034928493,99.0,99.0,19.02837,0.02850668,0.505743
508,348.9998380428521,21.112730999524615,10402800046727,17.570644,0.004591475,16.542131,0.0026637975,99.0,99.0,15.901786,0.0030414832,0.143612
509,349.8122378893978,20.733383001188813,10402800077721,21.289164,0.056603603,20.012527,0.0364897,99.0,99.0,19.155556,0.025266854,0.421068
510,349.0768425491065,21.044717966243383,10402800014917,20.826225,0.032176163,19.184448,0.01603344,99.0,99.0,99.0,99.0,0.348315
511,349.0788648354074,20.783329551496493,10402800049199,19.908997,0.022649962,18.38399,0.011865981,99.0,99.0,17.586172,0.012264027,0.309851
512,348.3371265255926,20.46666594177357,10402800045273,22.213509,0.06990785,20.239626,0.02905653,99.0,99.0,19.16848,0.021077288,0.517877
513,349.11475426504444,21.424373125284916,10402800013618,21.26147,0.061918568,19.589708,0.024145035,99.0,99.0,18.79324,0.022983098,0.456646
514,348.951323277751,21.38383640781349,10402800013468,22.67635,0.14332712,20.465607,0.04897309,99.0,99.0,19.161589,0.030759627,0.557686
515,348.4563377398932,21.585943551321847,10402800040626,18.272055,0.007443246,17.219398,0.0037084168,99.0,99.0,16.484915,0.0038827483,0.143277
516,348.55335713982026,20.104273574266145,10402800002290,20.39073,0.032555662,18.665945,0.013567031,99.0,99.0,17.770475,0.016938102,0.422849
517,348.9281372229687,20.252863765677247,10402800081400,21.14017,0.056730166,19.761246,0.027334461,99.0,99.0,18.779411,0.022951685,0.531878
518,349.2489458175195,21.299385374877076,10402800085570,22.76017,0.12526882,21.113823,0.0493824,99.0,99.0,20.111572,0.055817083,0.624877
519,348.0827694155577,20.600233006091457,10402800027285,21.899801,0.06919346,20.216093,0.029170707,99.0,99.0,19.280605,0.02500324,0.53932
520,349.4570188234205,20.466779100118558,10402800020434,20.191378,0.01800761,18.391794,0.01104975,99.0,99.0,17.584759,0.012095769,0.42223
521,349.7281711689159,20.50577271814535,10402800036157,22.021173,0.08227779,20.267231,0.03542877,99.0,99.0,19.09279,0.026605722,0.519995
522,349.59215824560033,20.768731829124377,10402800079816,22.388268,0.114479646,20.42599,0.05286184,99.0,99.0,18.988892,0.026365107,0.619071
523,349.2997587083613,20.69323952684759,10402800049452,20.64598,0.045371953,18.72143,0.021750746,99.0,99.0,17.927052,0.020221267,0.422237
524,349.27866661339004,20.725221700908378,10402800049422,22.393938,0.10903336,20.374123,0.050647683,99.0,99.0,19.356653,0.037806403,0.566483
525,348.57294790107073,19.6919350624688,10402800042661,22.347748,0.11236581,20.102993,0.03279601,99.0,99.0,19.009914,0.025152178,0.540652
